id,alert_type,severity,status,message,delivery_id,vehicle_id,region,created_at,resolved_at
ALT-KGL-000031,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000141 is delayed by 27 minutes.,DLV-KGL-000141,VHL-KGL-010,Ankara-Cankaya,2026-05-01T14:20:00Z,
ALT-KGL-000032,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000144 is delayed by 19 minutes.,DLV-KGL-000144,VHL-KGL-020,Istanbul-Kadikoy,2026-05-01T14:23:00Z,
ALT-KGL-000033,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000150 is delayed by 16 minutes.,DLV-KGL-000150,VHL-KGL-003,Istanbul-Kadikoy,2026-05-01T14:29:00Z,
ALT-KGL-000034,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000156 is delayed by 28 minutes.,DLV-KGL-000156,VHL-KGL-020,Istanbul-Kadikoy,2026-05-01T14:35:00Z,
ALT-KGL-000035,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000157 is delayed by 17 minutes.,DLV-KGL-000157,VHL-KGL-010,Izmir-Konak,2026-05-01T14:36:00Z,
ALT-KGL-000036,DELIVERY_DELAY,LOW,UNRESOLVED,Delivery DLV-KGL-000158 is delayed by 9 minutes.,DLV-KGL-000158,VHL-KGL-020,Istanbul-Kadikoy,2026-05-01T14:37:00Z,
ALT-KGL-000037,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000167 is delayed by 25 minutes.,DLV-KGL-000167,VHL-KGL-005,Bursa-Nilufer,2026-05-01T14:46:00Z,
ALT-KGL-000038,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000170 is delayed by 15 minutes.,DLV-KGL-000170,VHL-KGL-001,Istanbul-Sisli,2026-05-01T14:49:00Z,
ALT-KGL-000039,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000175 is delayed by 25 minutes.,DLV-KGL-000175,VHL-KGL-020,Ankara-Cankaya,2026-05-01T14:54:00Z,
ALT-KGL-000040,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000179 is delayed by 14 minutes.,DLV-KGL-000179,VHL-KGL-004,Istanbul-Kadikoy,2026-05-01T14:58:00Z,
ALT-KGL-000041,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000185 is delayed by 12 minutes.,DLV-KGL-000185,VHL-KGL-015,Izmir-Konak,2026-05-01T15:04:00Z,
ALT-KGL-000042,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000186 is delayed by 20 minutes.,DLV-KGL-000186,VHL-KGL-017,Istanbul-Sisli,2026-05-01T15:05:00Z,
ALT-KGL-000043,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000197 is delayed by 17 minutes.,DLV-KGL-000197,VHL-KGL-020,Bursa-Nilufer,2026-05-01T15:16:00Z,
ALT-KGL-000044,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000198 is delayed by 24 minutes.,DLV-KGL-000198,VHL-KGL-006,Istanbul-Sisli,2026-05-01T15:17:00Z,
ALT-KGL-000045,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000200 is delayed by 22 minutes.,DLV-KGL-000200,VHL-KGL-010,Istanbul-Kadikoy,2026-05-01T15:19:00Z,
ALT-KGL-000046,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000202 is delayed by 10 minutes.,DLV-KGL-000202,VHL-KGL-013,Ankara-Cankaya,2026-05-01T15:21:00Z,
ALT-KGL-000047,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000203 is delayed by 28 minutes.,DLV-KGL-000203,VHL-KGL-018,Bursa-Nilufer,2026-05-01T15:22:00Z,
ALT-KGL-000048,DELIVERY_DELAY,LOW,UNRESOLVED,Delivery DLV-KGL-000205 is delayed by 8 minutes.,DLV-KGL-000205,VHL-KGL-002,Ankara-Cankaya,2026-05-01T15:24:00Z,
ALT-KGL-000049,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000207 is delayed by 14 minutes.,DLV-KGL-000207,VHL-KGL-004,Bursa-Nilufer,2026-05-01T15:26:00Z,
ALT-KGL-000050,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000209 is delayed by 23 minutes.,DLV-KGL-000209,VHL-KGL-012,Istanbul-Kadikoy,2026-05-01T15:28:00Z,
ALT-KGL-000051,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000210 is delayed by 11 minutes.,DLV-KGL-000210,VHL-KGL-010,Istanbul-Sisli,2026-05-01T15:29:00Z,
ALT-KGL-000052,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000211 is delayed by 18 minutes.,DLV-KGL-000211,VHL-KGL-018,Istanbul-Sisli,2026-05-01T15:30:00Z,
ALT-KGL-000053,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000213 is delayed by 29 minutes.,DLV-KGL-000213,VHL-KGL-020,Istanbul-Sisli,2026-05-01T15:32:00Z,
ALT-KGL-000054,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000214 is delayed by 29 minutes.,DLV-KGL-000214,VHL-KGL-014,Bursa-Nilufer,2026-05-01T15:33:00Z,
ALT-KGL-000055,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000216 is delayed by 10 minutes.,DLV-KGL-000216,VHL-KGL-001,Ankara-Cankaya,2026-05-01T15:35:00Z,
ALT-KGL-000056,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000220 is delayed by 26 minutes.,DLV-KGL-000220,VHL-KGL-020,Izmir-Konak,2026-05-01T15:39:00Z,
ALT-KGL-000057,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000225 is delayed by 27 minutes.,DLV-KGL-000225,VHL-KGL-007,Ankara-Cankaya,2026-05-01T15:44:00Z,
ALT-KGL-000058,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000230 is delayed by 11 minutes.,DLV-KGL-000230,VHL-KGL-017,Bursa-Nilufer,2026-05-01T15:49:00Z,
ALT-KGL-000059,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000231 is delayed by 25 minutes.,DLV-KGL-000231,VHL-KGL-002,Izmir-Konak,2026-05-01T15:50:00Z,
ALT-KGL-000060,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000240 is delayed by 15 minutes.,DLV-KGL-000240,VHL-KGL-001,Izmir-Konak,2026-05-01T15:59:00Z,
ALT-KGL-000061,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000248 is delayed by 12 minutes.,DLV-KGL-000248,VHL-KGL-013,Istanbul-Sisli,2026-05-01T16:07:00Z,
ALT-KGL-000062,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000249 is delayed by 10 minutes.,DLV-KGL-000249,VHL-KGL-013,Istanbul-Sisli,2026-05-01T16:08:00Z,
ALT-KGL-000063,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000251 is delayed by 29 minutes.,DLV-KGL-000251,VHL-KGL-020,Istanbul-Kadikoy,2026-05-01T16:10:00Z,
ALT-KGL-000064,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000265 is delayed by 15 minutes.,DLV-KGL-000265,VHL-KGL-020,Istanbul-Sisli,2026-05-01T16:24:00Z,
ALT-KGL-000065,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000270 is delayed by 13 minutes.,DLV-KGL-000270,VHL-KGL-009,Bursa-Nilufer,2026-05-01T16:29:00Z,
ALT-KGL-000066,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000273 is delayed by 21 minutes.,DLV-KGL-000273,VHL-KGL-010,Ankara-Cankaya,2026-05-01T16:32:00Z,
ALT-KGL-000067,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000275 is delayed by 11 minutes.,DLV-KGL-000275,VHL-KGL-010,Ankara-Cankaya,2026-05-01T16:34:00Z,
ALT-KGL-000068,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000278 is delayed by 10 minutes.,DLV-KGL-000278,VHL-KGL-016,Bursa-Nilufer,2026-05-01T16:37:00Z,
ALT-KGL-000069,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000279 is delayed by 13 minutes.,DLV-KGL-000279,VHL-KGL-009,Bursa-Nilufer,2026-05-01T16:38:00Z,
ALT-KGL-000070,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000292 is delayed by 24 minutes.,DLV-KGL-000292,VHL-KGL-006,Istanbul-Sisli,2026-05-01T16:51:00Z,
ALT-KGL-000071,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000294 is delayed by 28 minutes.,DLV-KGL-000294,VHL-KGL-005,Ankara-Cankaya,2026-05-01T16:53:00Z,
ALT-KGL-000072,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000295 is delayed by 13 minutes.,DLV-KGL-000295,VHL-KGL-016,Izmir-Konak,2026-05-01T16:54:00Z,
ALT-KGL-000073,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000302 is delayed by 22 minutes.,DLV-KGL-000302,VHL-KGL-005,Ankara-Cankaya,2026-05-01T17:01:00Z,
ALT-KGL-000074,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000306 is delayed by 12 minutes.,DLV-KGL-000306,VHL-KGL-007,Ankara-Cankaya,2026-05-01T17:05:00Z,
ALT-KGL-000075,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000312 is delayed by 11 minutes.,DLV-KGL-000312,VHL-KGL-013,Istanbul-Kadikoy,2026-05-01T17:11:00Z,
ALT-KGL-000076,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000314 is delayed by 21 minutes.,DLV-KGL-000314,VHL-KGL-002,Istanbul-Kadikoy,2026-05-01T17:13:00Z,
ALT-KGL-000077,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000333 is delayed by 22 minutes.,DLV-KGL-000333,VHL-KGL-016,Ankara-Cankaya,2026-05-01T17:32:00Z,
ALT-KGL-000078,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000337 is delayed by 15 minutes.,DLV-KGL-000337,VHL-KGL-018,Istanbul-Kadikoy,2026-05-01T17:36:00Z,
ALT-KGL-000079,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000338 is delayed by 21 minutes.,DLV-KGL-000338,VHL-KGL-017,Bursa-Nilufer,2026-05-01T17:37:00Z,
ALT-KGL-000080,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000350 is delayed by 21 minutes.,DLV-KGL-000350,VHL-KGL-010,Istanbul-Sisli,2026-05-01T17:49:00Z,
ALT-KGL-000081,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000351 is delayed by 28 minutes.,DLV-KGL-000351,VHL-KGL-017,Ankara-Cankaya,2026-05-01T17:50:00Z,
ALT-KGL-000082,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000354 is delayed by 10 minutes.,DLV-KGL-000354,VHL-KGL-020,Istanbul-Kadikoy,2026-05-01T17:53:00Z,
ALT-KGL-000083,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000357 is delayed by 20 minutes.,DLV-KGL-000357,VHL-KGL-014,Izmir-Konak,2026-05-01T17:56:00Z,
ALT-KGL-000084,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000358 is delayed by 18 minutes.,DLV-KGL-000358,VHL-KGL-013,Bursa-Nilufer,2026-05-01T17:57:00Z,
ALT-KGL-000085,DELIVERY_DELAY,LOW,UNRESOLVED,Delivery DLV-KGL-000365 is delayed by 9 minutes.,DLV-KGL-000365,VHL-KGL-002,Istanbul-Kadikoy,2026-05-01T18:04:00Z,
ALT-KGL-000086,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000366 is delayed by 25 minutes.,DLV-KGL-000366,VHL-KGL-016,Istanbul-Sisli,2026-05-01T18:05:00Z,
ALT-KGL-000087,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000370 is delayed by 10 minutes.,DLV-KGL-000370,VHL-KGL-007,Ankara-Cankaya,2026-05-01T18:09:00Z,
ALT-KGL-000088,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000374 is delayed by 14 minutes.,DLV-KGL-000374,VHL-KGL-008,Bursa-Nilufer,2026-05-01T18:13:00Z,
ALT-KGL-000089,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000379 is delayed by 13 minutes.,DLV-KGL-000379,VHL-KGL-008,Istanbul-Kadikoy,2026-05-01T18:18:00Z,
ALT-KGL-000090,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000384 is delayed by 15 minutes.,DLV-KGL-000384,VHL-KGL-019,Bursa-Nilufer,2026-05-01T18:23:00Z,
ALT-KGL-000091,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000386 is delayed by 26 minutes.,DLV-KGL-000386,VHL-KGL-011,Bursa-Nilufer,2026-05-01T18:25:00Z,
ALT-KGL-000092,DELIVERY_DELAY,LOW,UNRESOLVED,Delivery DLV-KGL-000391 is delayed by 8 minutes.,DLV-KGL-000391,VHL-KGL-011,Istanbul-Sisli,2026-05-01T18:30:00Z,
ALT-KGL-000093,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000392 is delayed by 10 minutes.,DLV-KGL-000392,VHL-KGL-005,Istanbul-Kadikoy,2026-05-01T18:31:00Z,
ALT-KGL-000094,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000393 is delayed by 11 minutes.,DLV-KGL-000393,VHL-KGL-004,Izmir-Konak,2026-05-01T18:32:00Z,
ALT-KGL-000095,DELIVERY_DELAY,LOW,UNRESOLVED,Delivery DLV-KGL-000394 is delayed by 8 minutes.,DLV-KGL-000394,VHL-KGL-010,Izmir-Konak,2026-05-01T18:33:00Z,
ALT-KGL-000096,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000395 is delayed by 26 minutes.,DLV-KGL-000395,VHL-KGL-010,Bursa-Nilufer,2026-05-01T18:34:00Z,
ALT-KGL-000097,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000398 is delayed by 29 minutes.,DLV-KGL-000398,VHL-KGL-019,Istanbul-Kadikoy,2026-05-01T18:37:00Z,
ALT-KGL-000098,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000401 is delayed by 15 minutes.,DLV-KGL-000401,VHL-KGL-009,Istanbul-Sisli,2026-05-01T18:40:00Z,
ALT-KGL-000099,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000404 is delayed by 26 minutes.,DLV-KGL-000404,VHL-KGL-013,Istanbul-Kadikoy,2026-05-01T18:43:00Z,
ALT-KGL-000100,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000406 is delayed by 26 minutes.,DLV-KGL-000406,VHL-KGL-004,Ankara-Cankaya,2026-05-01T18:45:00Z,
ALT-KGL-000101,DELIVERY_DELAY,LOW,UNRESOLVED,Delivery DLV-KGL-000409 is delayed by 7 minutes.,DLV-KGL-000409,VHL-KGL-002,Ankara-Cankaya,2026-05-01T18:48:00Z,
ALT-KGL-000102,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000414 is delayed by 25 minutes.,DLV-KGL-000414,VHL-KGL-019,Istanbul-Sisli,2026-05-01T18:53:00Z,
ALT-KGL-000103,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000416 is delayed by 26 minutes.,DLV-KGL-000416,VHL-KGL-008,Istanbul-Kadikoy,2026-05-01T18:55:00Z,
ALT-KGL-000104,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000417 is delayed by 15 minutes.,DLV-KGL-000417,VHL-KGL-013,Istanbul-Sisli,2026-05-01T18:56:00Z,
ALT-KGL-000105,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000423 is delayed by 12 minutes.,DLV-KGL-000423,VHL-KGL-009,Ankara-Cankaya,2026-05-01T19:02:00Z,
ALT-KGL-000106,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000431 is delayed by 15 minutes.,DLV-KGL-000431,VHL-KGL-014,Istanbul-Kadikoy,2026-05-01T19:10:00Z,
ALT-KGL-000107,DELIVERY_DELAY,LOW,UNRESOLVED,Delivery DLV-KGL-000433 is delayed by 5 minutes.,DLV-KGL-000433,VHL-KGL-009,Bursa-Nilufer,2026-05-01T19:12:00Z,
ALT-KGL-000108,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000435 is delayed by 13 minutes.,DLV-KGL-000435,VHL-KGL-006,Izmir-Konak,2026-05-01T19:14:00Z,
ALT-KGL-000109,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000441 is delayed by 24 minutes.,DLV-KGL-000441,VHL-KGL-003,Ankara-Cankaya,2026-05-01T19:20:00Z,
ALT-KGL-000110,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000449 is delayed by 19 minutes.,DLV-KGL-000449,VHL-KGL-005,Istanbul-Kadikoy,2026-05-01T19:28:00Z,
ALT-KGL-000111,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000460 is delayed by 29 minutes.,DLV-KGL-000460,VHL-KGL-019,Istanbul-Kadikoy,2026-05-01T19:39:00Z,
ALT-KGL-000112,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000466 is delayed by 10 minutes.,DLV-KGL-000466,VHL-KGL-010,Istanbul-Kadikoy,2026-05-01T19:45:00Z,
ALT-KGL-000113,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000468 is delayed by 19 minutes.,DLV-KGL-000468,VHL-KGL-002,Ankara-Cankaya,2026-05-01T19:47:00Z,
ALT-KGL-000114,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000469 is delayed by 12 minutes.,DLV-KGL-000469,VHL-KGL-019,Bursa-Nilufer,2026-05-01T19:48:00Z,
ALT-KGL-000115,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000470 is delayed by 16 minutes.,DLV-KGL-000470,VHL-KGL-006,Izmir-Konak,2026-05-01T19:49:00Z,
ALT-KGL-000116,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000473 is delayed by 28 minutes.,DLV-KGL-000473,VHL-KGL-001,Izmir-Konak,2026-05-01T19:52:00Z,
ALT-KGL-000117,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000475 is delayed by 21 minutes.,DLV-KGL-000475,VHL-KGL-019,Ankara-Cankaya,2026-05-01T19:54:00Z,
ALT-KGL-000118,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000477 is delayed by 28 minutes.,DLV-KGL-000477,VHL-KGL-005,Istanbul-Kadikoy,2026-05-01T19:56:00Z,
ALT-KGL-000119,DELIVERY_DELAY,MEDIUM,UNRESOLVED,Delivery DLV-KGL-000480 is delayed by 19 minutes.,DLV-KGL-000480,VHL-KGL-016,Istanbul-Sisli,2026-05-01T19:59:00Z,
ALT-KGL-000120,DELIVERY_DELAY,LOW,UNRESOLVED,Delivery DLV-KGL-000483 is delayed by 6 minutes.,DLV-KGL-000483,VHL-KGL-005,Bursa-Nilufer,2026-05-01T20:02:00Z,
ALT-KGL-000121,DELIVERY_DELAY,LOW,UNRESOLVED,Delivery DLV-KGL-000485 is delayed by 6 minutes.,DLV-KGL-000485,VHL-KGL-014,Ankara-Cankaya,2026-05-01T20:04:00Z,
