id,tracking_number,vehicle_id,driver_id,warehouse_id,region,status,priority,estimated_delivery_time,actual_delivery_time,delay_minutes,last_updated_at
DLV-KGL-000012,KGL-000012,VHL-KGL-001,DRV-001,WH-IZM-001,Izmir-Konak,DELIVERED,NORMAL,2026-05-01T12:11:00Z,2026-05-01T12:11:00Z,0,2026-05-01T12:11:00Z
DLV-KGL-000013,KGL-000013,VHL-KGL-005,DRV-005,WH-IZM-001,Izmir-Konak,DELIVERED,NORMAL,2026-05-01T12:12:00Z,2026-05-01T12:12:00Z,0,2026-05-01T12:12:00Z
DLV-KGL-000014,KGL-000014,VHL-KGL-001,DRV-001,WH-IST-001,Istanbul-Sisli,DELAYED,HIGH,2026-05-01T12:13:00Z,2026-05-01T12:13:00Z,7,2026-05-01T12:13:00Z
DLV-KGL-000015,KGL-000015,VHL-KGL-001,DRV-001,WH-IST-001,Istanbul-Sisli,DELIVERED,NORMAL,2026-05-01T12:14:00Z,2026-05-01T12:14:00Z,0,2026-05-01T12:14:00Z
DLV-KGL-000016,KGL-000016,VHL-KGL-013,DRV-003,WH-IZM-001,Izmir-Konak,DELAYED,HIGH,2026-05-01T12:15:00Z,2026-05-01T12:15:00Z,12,2026-05-01T12:15:00Z
DLV-KGL-000017,KGL-000017,VHL-KGL-019,DRV-004,WH-BRS-001,Bursa-Nilufer,DELIVERED,LOW,2026-05-01T12:16:00Z,2026-05-01T12:16:00Z,0,2026-05-01T12:16:00Z
DLV-KGL-000018,KGL-000018,VHL-KGL-003,DRV-003,WH-IZM-001,Izmir-Konak,DELIVERED,HIGH,2026-05-01T12:17:00Z,2026-05-01T12:17:00Z,0,2026-05-01T12:17:00Z
DLV-KGL-000019,KGL-000019,VHL-KGL-006,DRV-001,WH-IST-001,Istanbul-Kadikoy,DELIVERED,NORMAL,2026-05-01T12:18:00Z,2026-05-01T12:18:00Z,0,2026-05-01T12:18:00Z
DLV-KGL-000020,KGL-000020,VHL-KGL-015,DRV-005,WH-ANK-001,Ankara-Cankaya,DELAYED,HIGH,2026-05-01T12:19:00Z,2026-05-01T12:19:00Z,12,2026-05-01T12:19:00Z
DLV-KGL-000021,KGL-000021,VHL-KGL-005,DRV-005,WH-IZM-001,Izmir-Konak,DELIVERED,NORMAL,2026-05-01T12:20:00Z,2026-05-01T12:20:00Z,0,2026-05-01T12:20:00Z
DLV-KGL-000022,KGL-000022,VHL-KGL-005,DRV-005,WH-IZM-001,Izmir-Konak,DELIVERED,NORMAL,2026-05-01T12:21:00Z,2026-05-01T12:21:00Z,0,2026-05-01T12:21:00Z
DLV-KGL-000023,KGL-000023,VHL-KGL-017,DRV-002,WH-IZM-001,Izmir-Konak,DELIVERED,NORMAL,2026-05-01T12:22:00Z,2026-05-01T12:22:00Z,0,2026-05-01T12:22:00Z
DLV-KGL-000024,KGL-000024,VHL-KGL-011,DRV-001,WH-ANK-001,Ankara-Cankaya,DELIVERED,NORMAL,2026-05-01T12:23:00Z,2026-05-01T12:23:00Z,0,2026-05-01T12:23:00Z
DLV-KGL-000025,KGL-000025,VHL-KGL-008,DRV-003,WH-ANK-001,Ankara-Cankaya,DELIVERED,NORMAL,2026-05-01T12:24:00Z,2026-05-01T12:24:00Z,0,2026-05-01T12:24:00Z
DLV-KGL-000026,KGL-000026,VHL-KGL-017,DRV-002,WH-IST-001,Istanbul-Sisli,DELIVERED,LOW,2026-05-01T12:25:00Z,2026-05-01T12:25:00Z,0,2026-05-01T12:25:00Z
DLV-KGL-000027,KGL-000027,VHL-KGL-007,DRV-002,WH-BRS-001,Bursa-Nilufer,DELAYED,HIGH,2026-05-01T12:26:00Z,2026-05-01T12:26:00Z,19,2026-05-01T12:26:00Z
DLV-KGL-000028,KGL-000028,VHL-KGL-015,DRV-005,WH-IST-001,Istanbul-Kadikoy,DELIVERED,NORMAL,2026-05-01T12:27:00Z,2026-05-01T12:27:00Z,0,2026-05-01T12:27:00Z
DLV-KGL-000029,KGL-000029,VHL-KGL-010,DRV-005,WH-ANK-001,Ankara-Cankaya,DELIVERED,HIGH,2026-05-01T12:28:00Z,2026-05-01T12:28:00Z,0,2026-05-01T12:28:00Z
DLV-KGL-000030,KGL-000030,VHL-KGL-003,DRV-003,WH-BRS-001,Bursa-Nilufer,DELIVERED,NORMAL,2026-05-01T12:29:00Z,2026-05-01T12:29:00Z,0,2026-05-01T12:29:00Z
DLV-KGL-000031,KGL-000031,VHL-KGL-009,DRV-004,WH-IZM-001,Izmir-Konak,DELIVERED,NORMAL,2026-05-01T12:30:00Z,2026-05-01T12:30:00Z,0,2026-05-01T12:30:00Z
DLV-KGL-000032,KGL-000032,VHL-KGL-003,DRV-003,WH-ANK-001,Ankara-Cankaya,DELAYED,NORMAL,2026-05-01T12:31:00Z,2026-05-01T12:31:00Z,12,2026-05-01T12:31:00Z
DLV-KGL-000033,KGL-000033,VHL-KGL-011,DRV-001,WH-ANK-001,Ankara-Cankaya,DELAYED,HIGH,2026-05-01T12:32:00Z,2026-05-01T12:32:00Z,22,2026-05-01T12:32:00Z
DLV-KGL-000034,KGL-000034,VHL-KGL-004,DRV-004,WH-IZM-001,Izmir-Konak,DELIVERED,NORMAL,2026-05-01T12:33:00Z,2026-05-01T12:33:00Z,0,2026-05-01T12:33:00Z
DLV-KGL-000035,KGL-000035,VHL-KGL-005,DRV-005,WH-IST-001,Istanbul-Kadikoy,DELAYED,HIGH,2026-05-01T12:34:00Z,2026-05-01T12:34:00Z,28,2026-05-01T12:34:00Z
DLV-KGL-000036,KGL-000036,VHL-KGL-019,DRV-004,WH-BRS-001,Bursa-Nilufer,DELIVERED,NORMAL,2026-05-01T12:35:00Z,2026-05-01T12:35:00Z,0,2026-05-01T12:35:00Z
DLV-KGL-000037,KGL-000037,VHL-KGL-012,DRV-002,WH-IST-001,Istanbul-Kadikoy,DELAYED,HIGH,2026-05-01T12:36:00Z,2026-05-01T12:36:00Z,21,2026-05-01T12:36:00Z
DLV-KGL-000038,KGL-000038,VHL-KGL-007,DRV-002,WH-ANK-001,Ankara-Cankaya,DELIVERED,NORMAL,2026-05-01T12:37:00Z,2026-05-01T12:37:00Z,0,2026-05-01T12:37:00Z
DLV-KGL-000039,KGL-000039,VHL-KGL-011,DRV-001,WH-IZM-001,Izmir-Konak,DELIVERED,NORMAL,2026-05-01T12:38:00Z,2026-05-01T12:38:00Z,0,2026-05-01T12:38:00Z
DLV-KGL-000040,KGL-000040,VHL-KGL-006,DRV-001,WH-IST-001,Istanbul-Sisli,DELIVERED,NORMAL,2026-05-01T12:39:00Z,2026-05-01T12:39:00Z,0,2026-05-01T12:39:00Z
DLV-KGL-000041,KGL-000041,VHL-KGL-016,DRV-001,WH-IZM-001,Izmir-Konak,DELIVERED,NORMAL,2026-05-01T12:40:00Z,2026-05-01T12:40:00Z,0,2026-05-01T12:40:00Z
DLV-KGL-000042,KGL-000042,VHL-KGL-018,DRV-003,WH-IZM-001,Izmir-Konak,DELAYED,HIGH,2026-05-01T12:41:00Z,2026-05-01T12:41:00Z,16,2026-05-01T12:41:00Z
DLV-KGL-000043,KGL-000043,VHL-KGL-013,DRV-003,WH-IST-001,Istanbul-Kadikoy,DELIVERED,HIGH,2026-05-01T12:42:00Z,2026-05-01T12:42:00Z,0,2026-05-01T12:42:00Z
DLV-KGL-000044,KGL-000044,VHL-KGL-005,DRV-005,WH-ANK-001,Ankara-Cankaya,DELIVERED,NORMAL,2026-05-01T12:43:00Z,2026-05-01T12:43:00Z,0,2026-05-01T12:43:00Z
DLV-KGL-000045,KGL-000045,VHL-KGL-012,DRV-002,WH-IST-001,Istanbul-Sisli,DELIVERED,NORMAL,2026-05-01T12:44:00Z,2026-05-01T12:44:00Z,0,2026-05-01T12:44:00Z
DLV-KGL-000046,KGL-000046,VHL-KGL-002,DRV-002,WH-IZM-001,Izmir-Konak,DELIVERED,NORMAL,2026-05-01T12:45:00Z,2026-05-01T12:45:00Z,0,2026-05-01T12:45:00Z
DLV-KGL-000047,KGL-000047,VHL-KGL-002,DRV-002,WH-IST-001,Istanbul-Kadikoy,DELIVERED,NORMAL,2026-05-01T12:46:00Z,2026-05-01T12:46:00Z,0,2026-05-01T12:46:00Z
DLV-KGL-000048,KGL-000048,VHL-KGL-011,DRV-001,WH-IST-001,Istanbul-Kadikoy,DELIVERED,NORMAL,2026-05-01T12:47:00Z,2026-05-01T12:47:00Z,0,2026-05-01T12:47:00Z
DLV-KGL-000049,KGL-000049,VHL-KGL-016,DRV-001,WH-BRS-001,Bursa-Nilufer,DELAYED,HIGH,2026-05-01T12:48:00Z,2026-05-01T12:48:00Z,18,2026-05-01T12:48:00Z
DLV-KGL-000050,KGL-000050,VHL-KGL-010,DRV-005,WH-ANK-001,Ankara-Cankaya,DELIVERED,HIGH,2026-05-01T12:49:00Z,2026-05-01T12:49:00Z,0,2026-05-01T12:49:00Z
DLV-KGL-000051,KGL-000051,VHL-KGL-016,DRV-001,WH-IST-001,Istanbul-Kadikoy,DELIVERED,NORMAL,2026-05-01T12:50:00Z,2026-05-01T12:50:00Z,0,2026-05-01T12:50:00Z
DLV-KGL-000052,KGL-000052,VHL-KGL-010,DRV-005,WH-IST-001,Istanbul-Kadikoy,DELAYED,HIGH,2026-05-01T12:51:00Z,2026-05-01T12:51:00Z,25,2026-05-01T12:51:00Z
DLV-KGL-000053,KGL-000053,VHL-KGL-006,DRV-001,WH-IZM-001,Izmir-Konak,DELIVERED,NORMAL,2026-05-01T12:52:00Z,2026-05-01T12:52:00Z,0,2026-05-01T12:52:00Z
DLV-KGL-000054,KGL-000054,VHL-KGL-017,DRV-002,WH-IST-001,Istanbul-Kadikoy,DELIVERED,NORMAL,2026-05-01T12:53:00Z,2026-05-01T12:53:00Z,0,2026-05-01T12:53:00Z
DLV-KGL-000055,KGL-000055,VHL-KGL-002,DRV-002,WH-IST-001,Istanbul-Kadikoy,DELIVERED,NORMAL,2026-05-01T12:54:00Z,2026-05-01T12:54:00Z,0,2026-05-01T12:54:00Z
DLV-KGL-000056,KGL-000056,VHL-KGL-002,DRV-002,WH-BRS-001,Bursa-Nilufer,DELIVERED,NORMAL,2026-05-01T12:55:00Z,2026-05-01T12:55:00Z,0,2026-05-01T12:55:00Z
DLV-KGL-000057,KGL-000057,VHL-KGL-006,DRV-001,WH-IZM-001,Izmir-Konak,DELIVERED,NORMAL,2026-05-01T12:56:00Z,2026-05-01T12:56:00Z,0,2026-05-01T12:56:00Z
DLV-KGL-000058,KGL-000058,VHL-KGL-012,DRV-002,WH-IST-001,Istanbul-Kadikoy,DELIVERED,NORMAL,2026-05-01T12:57:00Z,2026-05-01T12:57:00Z,0,2026-05-01T12:57:00Z
DLV-KGL-000059,KGL-000059,VHL-KGL-015,DRV-005,WH-IST-001,Istanbul-Kadikoy,DELIVERED,NORMAL,2026-05-01T12:58:00Z,2026-05-01T12:58:00Z,0,2026-05-01T12:58:00Z
DLV-KGL-000060,KGL-000060,VHL-KGL-003,DRV-003,WH-ANK-001,Ankara-Cankaya,DELIVERED,NORMAL,2026-05-01T12:59:00Z,2026-05-01T12:59:00Z,0,2026-05-01T12:59:00Z
DLV-KGL-000061,KGL-000061,VHL-KGL-018,DRV-003,WH-IST-001,Istanbul-Kadikoy,DELIVERED,HIGH,2026-05-01T13:00:00Z,2026-05-01T13:00:00Z,0,2026-05-01T13:00:00Z
DLV-KGL-000062,KGL-000062,VHL-KGL-005,DRV-005,WH-IZM-001,Izmir-Konak,DELIVERED,NORMAL,2026-05-01T13:01:00Z,2026-05-01T13:01:00Z,0,2026-05-01T13:01:00Z
DLV-KGL-000063,KGL-000063,VHL-KGL-009,DRV-004,WH-IST-001,Istanbul-Sisli,DELAYED,HIGH,2026-05-01T13:02:00Z,2026-05-01T13:02:00Z,6,2026-05-01T13:02:00Z
DLV-KGL-000064,KGL-000064,VHL-KGL-017,DRV-002,WH-IZM-001,Izmir-Konak,DELAYED,HIGH,2026-05-01T13:03:00Z,2026-05-01T13:03:00Z,14,2026-05-01T13:03:00Z
DLV-KGL-000065,KGL-000065,VHL-KGL-019,DRV-004,WH-IZM-001,Izmir-Konak,DELIVERED,NORMAL,2026-05-01T13:04:00Z,2026-05-01T13:04:00Z,0,2026-05-01T13:04:00Z
DLV-KGL-000066,KGL-000066,VHL-KGL-010,DRV-005,WH-BRS-001,Bursa-Nilufer,DELIVERED,NORMAL,2026-05-01T13:05:00Z,2026-05-01T13:05:00Z,0,2026-05-01T13:05:00Z
DLV-KGL-000067,KGL-000067,VHL-KGL-018,DRV-003,WH-IST-001,Istanbul-Kadikoy,DELAYED,HIGH,2026-05-01T13:06:00Z,2026-05-01T13:06:00Z,16,2026-05-01T13:06:00Z
DLV-KGL-000068,KGL-000068,VHL-KGL-005,DRV-005,WH-IST-001,Istanbul-Sisli,DELIVERED,NORMAL,2026-05-01T13:07:00Z,2026-05-01T13:07:00Z,0,2026-05-01T13:07:00Z
DLV-KGL-000069,KGL-000069,VHL-KGL-012,DRV-002,WH-IZM-001,Izmir-Konak,DELAYED,HIGH,2026-05-01T13:08:00Z,2026-05-01T13:08:00Z,26,2026-05-01T13:08:00Z
DLV-KGL-000070,KGL-000070,VHL-KGL-010,DRV-005,WH-BRS-001,Bursa-Nilufer,DELIVERED,NORMAL,2026-05-01T13:09:00Z,2026-05-01T13:09:00Z,0,2026-05-01T13:09:00Z
DLV-KGL-000071,KGL-000071,VHL-KGL-011,DRV-001,WH-ANK-001,Ankara-Cankaya,DELIVERED,NORMAL,2026-05-01T13:10:00Z,2026-05-01T13:10:00Z,0,2026-05-01T13:10:00Z
DLV-KGL-000072,KGL-000072,VHL-KGL-008,DRV-003,WH-ANK-001,Ankara-Cankaya,DELIVERED,NORMAL,2026-05-01T13:11:00Z,2026-05-01T13:11:00Z,0,2026-05-01T13:11:00Z
DLV-KGL-000073,KGL-000073,VHL-KGL-008,DRV-003,WH-IZM-001,Izmir-Konak,DELAYED,HIGH,2026-05-01T13:12:00Z,2026-05-01T13:12:00Z,10,2026-05-01T13:12:00Z
DLV-KGL-000074,KGL-000074,VHL-KGL-001,DRV-001,WH-IST-001,Istanbul-Kadikoy,DELAYED,HIGH,2026-05-01T13:13:00Z,2026-05-01T13:13:00Z,29,2026-05-01T13:13:00Z
DLV-KGL-000075,KGL-000075,VHL-KGL-010,DRV-005,WH-IZM-001,Izmir-Konak,DELIVERED,NORMAL,2026-05-01T13:14:00Z,2026-05-01T13:14:00Z,0,2026-05-01T13:14:00Z
DLV-KGL-000076,KGL-000076,VHL-KGL-001,DRV-001,WH-BRS-001,Bursa-Nilufer,DELIVERED,NORMAL,2026-05-01T13:15:00Z,2026-05-01T13:15:00Z,0,2026-05-01T13:15:00Z
DLV-KGL-000077,KGL-000077,VHL-KGL-003,DRV-003,WH-IZM-001,Izmir-Konak,DELAYED,HIGH,2026-05-01T13:16:00Z,2026-05-01T13:16:00Z,27,2026-05-01T13:16:00Z
DLV-KGL-000078,KGL-000078,VHL-KGL-004,DRV-004,WH-IST-001,Istanbul-Sisli,DELIVERED,HIGH,2026-05-01T13:17:00Z,2026-05-01T13:17:00Z,0,2026-05-01T13:17:00Z
DLV-KGL-000079,KGL-000079,VHL-KGL-019,DRV-004,WH-IZM-001,Izmir-Konak,DELIVERED,NORMAL,2026-05-01T13:18:00Z,2026-05-01T13:18:00Z,0,2026-05-01T13:18:00Z
DLV-KGL-000080,KGL-000080,VHL-KGL-017,DRV-002,WH-IZM-001,Izmir-Konak,DELAYED,HIGH,2026-05-01T13:19:00Z,2026-05-01T13:19:00Z,5,2026-05-01T13:19:00Z
DLV-KGL-000081,KGL-000081,VHL-KGL-005,DRV-005,WH-IST-001,Istanbul-Kadikoy,DELAYED,NORMAL,2026-05-01T13:20:00Z,2026-05-01T13:20:00Z,16,2026-05-01T13:20:00Z
DLV-KGL-000082,KGL-000082,VHL-KGL-014,DRV-004,WH-IST-001,Istanbul-Sisli,DELIVERED,NORMAL,2026-05-01T13:21:00Z,2026-05-01T13:21:00Z,0,2026-05-01T13:21:00Z
DLV-KGL-000083,KGL-000083,VHL-KGL-015,DRV-005,WH-ANK-001,Ankara-Cankaya,DELAYED,NORMAL,2026-05-01T13:22:00Z,2026-05-01T13:22:00Z,23,2026-05-01T13:22:00Z
DLV-KGL-000084,KGL-000084,VHL-KGL-007,DRV-002,WH-IZM-001,Izmir-Konak,DELIVERED,NORMAL,2026-05-01T13:23:00Z,2026-05-01T13:23:00Z,0,2026-05-01T13:23:00Z
DLV-KGL-000085,KGL-000085,VHL-KGL-008,DRV-003,WH-IZM-001,Izmir-Konak,DELIVERED,NORMAL,2026-05-01T13:24:00Z,2026-05-01T13:24:00Z,0,2026-05-01T13:24:00Z
DLV-KGL-000086,KGL-000086,VHL-KGL-017,DRV-002,WH-IST-001,Istanbul-Sisli,DELIVERED,NORMAL,2026-05-01T13:25:00Z,2026-05-01T13:25:00Z,0,2026-05-01T13:25:00Z
DLV-KGL-000087,KGL-000087,VHL-KGL-017,DRV-002,WH-IZM-001,Izmir-Konak,DELIVERED,NORMAL,2026-05-01T13:26:00Z,2026-05-01T13:26:00Z,0,2026-05-01T13:26:00Z
DLV-KGL-000088,KGL-000088,VHL-KGL-015,DRV-005,WH-BRS-001,Bursa-Nilufer,DELIVERED,NORMAL,2026-05-01T13:27:00Z,2026-05-01T13:27:00Z,0,2026-05-01T13:27:00Z
DLV-KGL-000089,KGL-000089,VHL-KGL-007,DRV-002,WH-BRS-001,Bursa-Nilufer,DELIVERED,NORMAL,2026-05-01T13:28:00Z,2026-05-01T13:28:00Z,0,2026-05-01T13:28:00Z
DLV-KGL-000090,KGL-000090,VHL-KGL-012,DRV-002,WH-IZM-001,Izmir-Konak,DELAYED,HIGH,2026-05-01T13:29:00Z,2026-05-01T13:29:00Z,9,2026-05-01T13:29:00Z
DLV-KGL-000091,KGL-000091,VHL-KGL-011,DRV-001,WH-ANK-001,Ankara-Cankaya,DELIVERED,NORMAL,2026-05-01T13:30:00Z,2026-05-01T13:30:00Z,0,2026-05-01T13:30:00Z
DLV-KGL-000092,KGL-000092,VHL-KGL-018,DRV-003,WH-BRS-001,Bursa-Nilufer,DELIVERED,NORMAL,2026-05-01T13:31:00Z,2026-05-01T13:31:00Z,0,2026-05-01T13:31:00Z
DLV-KGL-000093,KGL-000093,VHL-KGL-017,DRV-002,WH-IST-001,Istanbul-Sisli,DELIVERED,NORMAL,2026-05-01T13:32:00Z,2026-05-01T13:32:00Z,0,2026-05-01T13:32:00Z
DLV-KGL-000094,KGL-000094,VHL-KGL-010,DRV-005,WH-IST-001,Istanbul-Sisli,DELIVERED,HIGH,2026-05-01T13:33:00Z,2026-05-01T13:33:00Z,0,2026-05-01T13:33:00Z
DLV-KGL-000095,KGL-000095,VHL-KGL-008,DRV-003,WH-BRS-001,Bursa-Nilufer,DELIVERED,NORMAL,2026-05-01T13:34:00Z,2026-05-01T13:34:00Z,0,2026-05-01T13:34:00Z
DLV-KGL-000096,KGL-000096,VHL-KGL-014,DRV-004,WH-IST-001,Istanbul-Sisli,DELIVERED,NORMAL,2026-05-01T13:35:00Z,2026-05-01T13:35:00Z,0,2026-05-01T13:35:00Z
DLV-KGL-000097,KGL-000097,VHL-KGL-014,DRV-004,WH-IST-001,Istanbul-Sisli,DELIVERED,NORMAL,2026-05-01T13:36:00Z,2026-05-01T13:36:00Z,0,2026-05-01T13:36:00Z
DLV-KGL-000098,KGL-000098,VHL-KGL-019,DRV-004,WH-IZM-001,Izmir-Konak,DELAYED,HIGH,2026-05-01T13:37:00Z,2026-05-01T13:37:00Z,29,2026-05-01T13:37:00Z
DLV-KGL-000099,KGL-000099,VHL-KGL-020,DRV-005,WH-IST-001,Istanbul-Sisli,DELIVERED,NORMAL,2026-05-01T13:38:00Z,2026-05-01T13:38:00Z,0,2026-05-01T13:38:00Z
DLV-KGL-000100,KGL-000100,VHL-KGL-015,DRV-005,WH-IST-001,Istanbul-Sisli,DELAYED,HIGH,2026-05-01T13:39:00Z,2026-05-01T13:39:00Z,28,2026-05-01T13:39:00Z
DLV-KGL-000101,KGL-000101,VHL-KGL-008,DRV-003,WH-IST-001,Istanbul-Kadikoy,DELIVERED,NORMAL,2026-05-01T13:40:00Z,2026-05-01T13:40:00Z,0,2026-05-01T13:40:00Z
DLV-KGL-000102,KGL-000102,VHL-KGL-001,DRV-001,WH-IST-001,Istanbul-Sisli,DELIVERED,NORMAL,2026-05-01T13:41:00Z,2026-05-01T13:41:00Z,0,2026-05-01T13:41:00Z
DLV-KGL-000103,KGL-000103,VHL-KGL-007,DRV-002,WH-IZM-001,Izmir-Konak,DELIVERED,NORMAL,2026-05-01T13:42:00Z,2026-05-01T13:42:00Z,0,2026-05-01T13:42:00Z
DLV-KGL-000104,KGL-000104,VHL-KGL-015,DRV-005,WH-IZM-001,Izmir-Konak,DELIVERED,NORMAL,2026-05-01T13:43:00Z,2026-05-01T13:43:00Z,0,2026-05-01T13:43:00Z
DLV-KGL-000105,KGL-000105,VHL-KGL-005,DRV-005,WH-IZM-001,Izmir-Konak,DELIVERED,NORMAL,2026-05-01T13:44:00Z,2026-05-01T13:44:00Z,0,2026-05-01T13:44:00Z
DLV-KGL-000106,KGL-000106,VHL-KGL-013,DRV-003,WH-ANK-001,Ankara-Cankaya,DELIVERED,NORMAL,2026-05-01T13:45:00Z,2026-05-01T13:45:00Z,0,2026-05-01T13:45:00Z
DLV-KGL-000107,KGL-000107,VHL-KGL-001,DRV-001,WH-ANK-001,Ankara-Cankaya,DELIVERED,NORMAL,2026-05-01T13:46:00Z,2026-05-01T13:46:00Z,0,2026-05-01T13:46:00Z
DLV-KGL-000108,KGL-000108,VHL-KGL-008,DRV-003,WH-BRS-001,Bursa-Nilufer,DELIVERED,NORMAL,2026-05-01T13:47:00Z,2026-05-01T13:47:00Z,0,2026-05-01T13:47:00Z
DLV-KGL-000109,KGL-000109,VHL-KGL-013,DRV-003,WH-IZM-001,Izmir-Konak,DELIVERED,NORMAL,2026-05-01T13:48:00Z,2026-05-01T13:48:00Z,0,2026-05-01T13:48:00Z
DLV-KGL-000110,KGL-000110,VHL-KGL-013,DRV-003,WH-IST-001,Istanbul-Kadikoy,DELAYED,NORMAL,2026-05-01T13:49:00Z,2026-05-01T13:49:00Z,28,2026-05-01T13:49:00Z
DLV-KGL-000111,KGL-000111,VHL-KGL-016,DRV-001,WH-IST-001,Istanbul-Kadikoy,DELIVERED,NORMAL,2026-05-01T13:50:00Z,2026-05-01T13:50:00Z,0,2026-05-01T13:50:00Z
DLV-KGL-000112,KGL-000112,VHL-KGL-016,DRV-001,WH-IZM-001,Izmir-Konak,DELAYED,HIGH,2026-05-01T13:51:00Z,2026-05-01T13:51:00Z,17,2026-05-01T13:51:00Z
DLV-KGL-000113,KGL-000113,VHL-KGL-005,DRV-005,WH-BRS-001,Bursa-Nilufer,DELIVERED,LOW,2026-05-01T13:52:00Z,2026-05-01T13:52:00Z,0,2026-05-01T13:52:00Z
DLV-KGL-000114,KGL-000114,VHL-KGL-019,DRV-004,WH-IST-001,Istanbul-Kadikoy,DELIVERED,NORMAL,2026-05-01T13:53:00Z,2026-05-01T13:53:00Z,0,2026-05-01T13:53:00Z
DLV-KGL-000115,KGL-000115,VHL-KGL-012,DRV-002,WH-IST-001,Istanbul-Sisli,DELAYED,HIGH,2026-05-01T13:54:00Z,2026-05-01T13:54:00Z,20,2026-05-01T13:54:00Z
DLV-KGL-000116,KGL-000116,VHL-KGL-016,DRV-001,WH-ANK-001,Ankara-Cankaya,DELIVERED,NORMAL,2026-05-01T13:55:00Z,2026-05-01T13:55:00Z,0,2026-05-01T13:55:00Z
DLV-KGL-000117,KGL-000117,VHL-KGL-018,DRV-003,WH-IST-001,Istanbul-Kadikoy,DELIVERED,HIGH,2026-05-01T13:56:00Z,2026-05-01T13:56:00Z,0,2026-05-01T13:56:00Z
DLV-KGL-000118,KGL-000118,VHL-KGL-003,DRV-003,WH-BRS-001,Bursa-Nilufer,DELIVERED,NORMAL,2026-05-01T13:57:00Z,2026-05-01T13:57:00Z,0,2026-05-01T13:57:00Z
DLV-KGL-000119,KGL-000119,VHL-KGL-010,DRV-005,WH-IST-001,Istanbul-Kadikoy,DELIVERED,NORMAL,2026-05-01T13:58:00Z,2026-05-01T13:58:00Z,0,2026-05-01T13:58:00Z
DLV-KGL-000120,KGL-000120,VHL-KGL-002,DRV-002,WH-IST-001,Istanbul-Kadikoy,DELIVERED,LOW,2026-05-01T13:59:00Z,2026-05-01T13:59:00Z,0,2026-05-01T13:59:00Z
DLV-KGL-000121,KGL-000121,VHL-KGL-001,DRV-001,WH-IST-001,Istanbul-Kadikoy,DELIVERED,NORMAL,2026-05-01T14:00:00Z,2026-05-01T14:00:00Z,0,2026-05-01T14:00:00Z
DLV-KGL-000122,KGL-000122,VHL-KGL-004,DRV-004,WH-IZM-001,Izmir-Konak,DELIVERED,NORMAL,2026-05-01T14:01:00Z,2026-05-01T14:01:00Z,0,2026-05-01T14:01:00Z
